Time,Room,Title of Presentation/Performance,Presenter Name,Department/Program,Abstract
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,ASME R/C Baja Car,Nathaniel Wilhelm,"Engineering Technologies, Safety, & Construction","The American Society of Mechanical Engineers holds regional student design competitions each year with both a reoccurring RC Baja competition with a new challenge course each year. This project covers the design and manufacturing of components for a radio controlled car to race in the annual ASME RC Baja competition. For this project the car was broken down into its component subsystems and divided between two partners. It was then determined which components of each respective subsystem could be purchased and which required design and manufacture within the rules set forth in the ASME Baja competition rule book. All of the parts, both to be purchased and to be manufactured, were first drawn in SolidWorks to check alignment and for ease of FE analysis before manufacturing began. Parts and systems that were designed include: chassis of the car, differential and gear train, steering system, and the suspension system. Diverse manufacturing methods were used including waterjet cutting, 3d-printing, and the use of manual mills and lathes which in the future will be converted to CNC operations for ease of manufacturing. Both hands on and computer testing thus far has shown that the car will be successful in completing the tasks that are required of it at the RC Baja competition. To conclude, after the design and manufacturing of this car was completed a functional vehicle that starts, stops, and turns without issue was successfully created and functional testing will be completed at the competition."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,A Composite Brake Rotor Assembly by Utilizing Replaceable Friction Surfaces ,John  Evert,"Engineering Technologies, Safety, & Construction","This project investigated a proof of concept design involving a rotor fabricated from aluminum with replaceable friction surfaces with greater or equal performance characteristics in order to reduce cost and maintenance. The replaceable friction surfaces provide a means to mitigate cost to the end user. The structure is constrained by the dimensions, 11.75? diameter and 1.25? width and serves as a direct replacement rotor for a circle track racecar. Analyses provide a direct comparison in static mass, moments of inertia, and forced convection thermal calculations in order to determine if the concept was viable. Requirements for a successful design were a 22% reduction in total rotating mass, resist a linear deceleration rate of 8 meters per second, and the centripetal forces of an angular velocity of 315 radians per second. Off-car testing revealed a 4 pound reduction in static rotor mass and achieved a 34% reduction in the moment of inertia. On-car testing involved data logging multiple laps at a local racetrack and displayed a higher theoretical peak temperature than the conventional design. The composite structure the heat was rejected earlier in the cool down phase of the lap resulting in higher steady state of absorption/radiation characteristics. Means of monitoring the performance are by way of a GPS accelerometer and remote mounted infrared guns mounted to each hub. This design offers the all the function of a conventional rotor with a 42% reduction in replacement cost and a 18% reduction in replacement time."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Branch Cutting Attachment,Cullen Hubbard,"Engineering Technologies, Safety, & Construction","There are many homeowners that would like to maintain the trees around their homes but cannot do so. The drive of this project was to develop a branch cutting mechanism which would provide a senior citizen or an individual with limited upper body strength, with the ability to cut through branches that would otherwise pose challenging. The design would allow the end user to cut a branch by simply pulling a trigger. A branch cutting attachment was designed to attach to the front of a DeWALT cordless impact gun. This attachment will convert the rotational torque and motion from the impact gun into a shearing motion which can be utilized by a set of cutting blades to cut through the branches. This conversion came through a worm gear set that simultaneously changes the rotational direction of motion and increases the output torque of the impact gun through the gear set. The cutter was constructed from lightweight aluminum to keep the weight down as it is a hand held tool and was also designed to be easily attached and detached from the impact gun for ease of use. The design incorporated off the shelf blades so that in the event a blade was damaged during use a new blade was easy to obtain. Through testing it was found that the cutting attachment performed well on a variety of tree branch types and sizes up to 1-1/8?. It was also found that the attachment was easy to use by all user types."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Custom Glasses Cases,Nikolas Klukas,"Engineering Technologies, Safety, & Construction","The modern market is centralized around technological advances that improve and better everyday life. With approximately 150 million Americans that use corrective eye-ware on a daily basis, the need for improved technology in glasses cases is inevitable. Current glasses cases work to either protect the glasses and are big and bulky, or are made smaller to be more easily transported. The concept is to take any pair of glasses and make a custom case for them. The programs being utilized to complete the project are solidworks and excel.  The process is started by making a base layout of the glasses case in solidworks. Then a excel spreadsheet was made. Linking an excel spreadsheet to solidworks enables rapid input of new dimension to adjust solidworks drawing to the correct or new size. This provides a quick way to make my case fit any pair of glasses, no matter the dimensions. The solidworks model is then saved as a Stereolithography file and sent to the 3-d printer. The cases came out fully functional and open and close perfectly.  From sit down to completed glasses case depends on the size of the glasses the case was modeled around. The more cubic inches the case is, the longer it takes to print. The  first case took 10 hours to print."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Cell Phone in the Sky ---- Quadcopter for Aerial Photography,Hengwei Zhang,"Engineering Technologies, Safety, & Construction","With the development of aircraft model technology, quadcopters equipped with cameras are used for aerial video more and more frequently. Cell phones, moreover, allow people to share photos online immediately, so many people prefer to take photos or videos by cell phones instead with expensive cameras. Thus, the purpose of this project is to design and build a light weight quadcopter frame and select the system components that allow the quadcopter to fly smoothly while carrying a cell phone for aerial video. The method for creating the quadcopter is separated into three steps: design, build, and test. The design part includes frame design on the SolidWorks and Thrust/Weight ratio calculation with a safety factor of 1.0 to 1.5.  The build consists of a center plate made of carbon fiber plate, and aluminum sheet metal arms are formed into a U-shape and attached to the plate. The drill press, treadle shear, and manual turret punch are used during the building process. The remaining parts, such as cellphone carrier, battery, motors, speed controller, and control board among others were purchased after the analysis. The frame and electric parts were assembled with screws, nuts, and glue. During the testing section, two different propellers are tested to determine which size and type provide maximum thrust with the least battery consumption. Additional testing will evaluate stability of flight and payload capacity. "
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Heat Transfer Capabilities of a Plate and Frame Heat Exchanger,Eric Johnson,"Engineering Technologies, Safety, & Construction","Heat exchangers are a commonly used device in many different industries, with many different applications. The heat exchanger used in the brewing program here at CWU is a brazed plate and frame heat exchanger, so it cannot be taken apart for cleaning. Due to this, the overall efficiency of the heat exchanger will be reduced, causing fouling, because of the buildup of brewing material. In order to effectively combat this fouling, a heat exchanger must be constructed that can be disassembled for cleaning, and then reassembled with ease, while still being able to perform the same amount of heat transfer as the brazed system. Specifically, a gasketed plate and frame heat exchanger was constructed for this purpose, which utilizes rubber gaskets to seal the system, instead of brazing. This heat exchanger was constructed using twenty stainless steel plates, with four flow holes punched for the fluid paths, and arranged with the attached gaskets in a cross flow pattern. To test the effectiveness of this system, the heat exchanger will operate using cold tap water to cool down water heated to approximately 200 ¯F. The output temperature of the water will be measured, in order to see how well the heat exchanger is able to transfer heat between the two fluids. The results of this test will indicate the viability of this system, state the specific rate of heat transfer within this system, and compare this value to the previously utilized brazed heat exchanger. "
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,The Advances in Prosthetics,Jose Garcia,"Engineering Technologies, Safety, & Construction","Throughout time many people have been able to build, create, and do amazing things with their arms and legs. However, those who have lost limbs at birth or through an event in their life sometimes have a harder time being as accomplished as others. While some people without limbs have had a harder life, some have been able to accomplish what others with a normal physiology can by the use of prosthetics. This presentation will be focusing on the advances of prosthetics, the benefits for the user, and their future development. The main focus will be on prosthetic arms and its capabilities and movement processes for the user. Two types of prosthetic arms will be explored in this presentation. The first type of prosthetic arm explored will be made of ABS plastic, PLA, polyamide (nylon), and several other different types of materials depending on the needs of the patient. Another further sophisticated prosthetic arm examined is made of carbon fiber or pylon with circuits for the more advanced material to give the user better movement capabilities. "
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Composite Snowmobile Suspension System,Michael Villarma,"Engineering Technologies, Safety, & Construction","Snowmobile technology is constantly evolving and incorporating new ideas into products for the consumer to enjoy. After market manufactures are competing among themselves for the top position in suspension technology, yet none have broken the boundaries and really pushed to the next level, until now. The objective of this design was to provide the consumer with a lightweight and simplistic suspension system that would meet the performance demands of the consumer market. In order to meet the strength to weight ratio requirements of this design, composites were implemented to provide the necessary structural strength for the overall system. A one piece carbon fiber sub frame is the first of its kind and provides a foundation for all other components to fasten too. By replacing structural materials that were initially made from a high strength steel with a light weight carbon fiber, the weight savings are substantial and can be observed throughout the system. In order to determine the success of this design, a series of tests both on and off the vehicle were performed to accurately describe the behavior of the material under load. 3 point bending, load analysis, and weight comparison are examples of the test processes that will provide conclusive data on the overall performance of this design.  "
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,MX SnowSki,Jordan Olson,"Engineering Technologies, Safety, & Construction","Living in the Pacific Northwest has many perks when it comes to enjoying the outdoors. All of the seasons can be enjoyed, as well as being completely surrounded by beautiful rolling hills and mountains. Being someone who continuously enjoys the outdoors year-round it?s always fun to try new hobbies. The problem with owning a dirt bike is that most people ride during the dryer and warmer seasons of the year. This project would enable the bike to be ridden even during the snowy winter season. Riding a dirt bike in snow has been recently explored by only a few companies the past few years. Why not design our own working system? A Honda Cr250r dirt bike became the test model and a front mount for a snow ski was designed. This ski would replace the front wheel/tire, while a paddle tire would be implemented at the rear of the bike. After all thirteen parts are machined from the CNC, table mill, band saw, and surface grinders, the device is considered complete and will be properly mounted to the dirt bike. When tested, the dirt bike should handle well in the snow by making tight turns, long sweeping turns, and tracking straight with ease. The ski mount device will also allow the front ski to pivot in the upward position from 20-45¯, while also pivoting downward at least 10-25¯. This will allow a rider to enjoy dirt biking all year-round."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Emulsion Pressure Relief,Aaron Greear,"Engineering Technologies, Safety, & Construction","Over time the harsh outdoor environment wears away at asphalt surfaces. Asphalt emulsion is sprayed onto the surface to act as a sacrificial barrier. To pump this asphalt emulsion for spray application an effective pressure relief device must be incorporated. High pressure is needed to achieve the desired spray pattern, but this same pressure can cause components to fail in the presence of a pressure spike. Hydraulically driven positive displacement pumps are used to pump the emulsion, so a pinched hoses or a clog in the system results in a severe pressure spike. Due to the emulsions viscosity and abrasive additives a direct relief device is not suitable for long term service. A remote activated pressure relief device is needed to allow adequate spray pressure and prevent system failure. The device is manufactured with off the shelf hydraulic and pneumatic parts bolted to a steel base plate. A pilot pressure is taken from the emulsion circuit and feeds a pneumatic cylinder that pulls a linearly actuated hydraulic valve, in turn diverting the hydraulic flow to the reservoir instead of driving the pump. The pull of the cylinder is balanced by an adjustable spring to allow for different pressure settings. After installing the pressure relief device pressure was be measured at different locations throughout the system. The emulsion pressure relief device performed an as engineered and the pressure remained between 50 and 90 psi. "
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,MIDI Instrument Control in Labview,Justin Hand,"Engineering Technologies, Safety, & Construction","The goal of this project was to explore the capabilities of National Instruments? LabVIEW software for controlling electronic musical instruments. The project primarily involves LabVIEW software through which the MIDI code can be transmitted to an audio synthesizer to generate sounds, while using proximity sensors as novel controls to translate hand movements into musical note data. The project demonstrates that Labview can be used to interpret a signal from any kind of sensor and can use digital controls within the software to generate note data for generating music on MIDI instruments."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Touchscreen Coding: Reversi,Andrew Walker,"Engineering Technologies, Safety, & Construction","The purpose of the project is to run a touchscreen applications on a 32-bit microcontroller. ?Reversi? was chosen as the application to be developed for the project because it is a rules-light board game that requires a small amount of graphical resources and can be used to test the display of images and correlation to where the screen is touched and how the program responds by changing the display. The primary objectives include implementing the device libraries and drivers for the chosen microcontroller and display, getting the application to display the correct image in the correct place and detect a screen touch to correlate to the correct place on the touch screen."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Electric Vehicle Front Suspension,Adam Romine,"Engineering Technologies, Safety, & Construction",Each year electric vehicles become more and more popular. The electric vehicle that the Central Washington University Electric Vehicle Club is building needs a front suspension. The vehicle is being built  to compete in the Electrathon America Race in May of 2015. The suspension attaches to the wheels and attaches to the frame of the vehicle and provides bump dampening. The suspension was built was using a single swing arm type design. This design consists of six parts that are welded and bolted together to connect the wheel to the frame. The shock absorber that is attached to the single swing arm that absorbs the shock of the vehicle's weight as it goes over irregularities in the road. The design of the suspension had to fit within the constraints of the preexisting frame. The suspension was manufactured using the tools in the Central Washington University Machine Shop and Power Lab for under $140. The suspension weighs 9.6lbs per side and is made of steel. Initial tests  so far have shown that it is strong enough to hold the static load of the vehicle plus the driver.  The suspension provides the wheels with the 50ft turning diameter requirements. The shock travel requirement will need some modifications before it meets the desired specification. The suspension is operational and is ready to undergo testing and eventually be ready to compete in the Electrathon America Race. 
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Space Saver Bike Rack,Taylor Johnson,"Engineering Technologies, Safety, & Construction","Apartment living can be crowded especially for a cyclist. Bicycles are bulky and difficult to store. A device is needed to store two road bikes weighing up to 40 pounds each while saving as much space as possible. To solve this problem many iterations of various free standing and wall-leaning bike rack designs were drawn. Evolution of the design can be traced through the drawings included in the report. The first design analyzed was a free standing rack. After calculations and adjustments this design was going to have to be very bulky in order to achieve the stability requirements. The next design that was analyzed was a wall-leaning rack. This design was very compact and satisfied the stability requirements gracefully. In winter, materials were ordered and prepared for construction. Construction included cutting ABS pipe, gluing or drilling and pinning fittings. Construction was completed without major issues. The final device is working properly despite a couple of minor clearance related oversights. The bike rack supports two bikes weighing 35 pounds each. The compactness requirement of 72 inches squared was met. This spring the deflection of the rack will be tested and compared to the predicted data.  The racks capacity to support loads up to 40 pounds will be tested. A test will be run where the rack is loaded with two bikes and the floor area and volume occupied can be found. These values will be compared to the original configuration of road bike leaning against the wall in the apartment.  "
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Compact Rio Wind Turbine,Taylor Clevenger,"Engineering Technologies, Safety, & Construction","I am going to take a wind turbine and monitor the turbine through a Compact Rio. The wind turbine will be mounted to the top of Houge hall with a Compact Rio to monitor the turbine. The Compact Rio has a chassis that modules can plug into. These modules are going to have sensors connected to them to monitor the turbine. The sensors will monitor wind speed, chassis and outside temperature and voltage off of the main line and batteries."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,RetroPie Gaming System,Micah  McKittrick,"Engineering Technologies, Safety, & Construction","The purpose of this project is to build a gaming emulator using a Raspberry Pi Model B to emulate the video game systems Nintendo, Super Nintendo, Sega, and Atari 2600. In order to interact with the emulators the following peripherals have been wired in: one 8-Way directional arcade style joystick, ten concave arcade style buttons with micro switches, two USB powered speakers, one 15.6 inch HDTV and one USB powered hub. The buttons and joystick will be wired to the Raspberry Pi?s GPIO pins. Code will be obtained from an outside source then modified in order to work with the gaming emulators. All parts of this project are housed inside a custom acrylic glass case. The USB hub is installed on the front panel to allow users to plug in alternative controllers or keyboards for troubleshooting. The final product will be user friendly and require minimal upkeep."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Self-Sustaining Greenhouse:,Ryan  Storaasli,"Engineering Technologies, Safety, & Construction","My project creation along with my colleague is self-sustaining greenhouse.  The purpose of this project for an individual to grow several plants with limited involvement. The greenhouse has temperature sensors, humidity sensors, fans, lighting, and a water reservoir. It is controlled and regulated using the sensors to alert a program in Lab View on when to operate fans or lighting to regulate the heat. The water reservoir also has a sensor to alert the owner when the water level is low and needs to be filled. This is the only physical work that will need to be done by the owner. Besides filling the reservoir the greenhouse can be set for a certain temperature for desired plant growth and simply left alone for days while the plant is completely taken care of."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Self-Sustaining Greenhouse,Ethan Golding,"Engineering Technologies, Safety, & Construction","Self-sustaining greenhouse that monitors temperature, humidity, soil moisture, and water level. The temperature is constantly monitored and controlled through a temperature/humidity sensor that will turn fans on/off when the temperature rises too high. Temperature, humidity, soil moisture and water level are all displayed on a monitor for convenience. Since the greenhouse is an indoor greenhouse, the monitored values should remain consistent; however alarms will sound should control limits be triggered. Control levels can be easily changed for different plant needs. Water-level must be restored manually when the level drops below a user-defined set point."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Analysis of an Electric Bicycle Conversion,Amber Strand,"Engineering Technologies, Safety, & Construction","An investigation into the feasibility and practical use of the electric conversion of a standard bicycle while keeping the ability to return to a manual situation. By simply applying a motor to the front wheel of a bicycle, attached to a battery pack and a throttle it is possible to convert a plain bicycle into a primitive electric motorcycle. While a plain bicycle is already green and environmentally friendly, some of us need that extra help in getting to our destination faster and easier. While the motor is attached to the front wheel, and the pedals are already attached to the back wheel conversion between the two are simple and easy to allow versatility for the user. Thorough testing will be needed to determine how long a fully charged battery can be used before recharging is necessary as well as distance. While wide distribution of pre-made kits are available, building and testing these kits will help determine the actual practicality of using a kit and the potential of becoming useful and simplistic enough to be used by the average American."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Engineering at 88.1 The Burg,Nicholas Peretti,KCWU staff,"Growth and Develelopment at 88.1 the Burg, Its not just a one man job. I have been Interning as a Broadcast Engineer Associate for 88.1 the burg since October of last year. My task as an 88.1 the Burg Intern is to understand the systems that the radio station uses to keep our signal clear of noise and clear of FCC violations. In addition to these responsibilities I listen to the needs of our Volunteer DJ's and Paid staff, to implement solutions to their technology needs or wants. At Source I would like to show how our Digital Audio Processing System works, and how we take full advantage of the equipment available to us."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Solar Evaporative Air Handler,Sam Budnick,"Engineering Technologies, Safety, & Construction","The purpose of any engineering project is to anticipate a need and meet that need through prediction analysis and design.  Over 70% of the nation?s energy is consumed by building infrastructure such as HVAC systems, electrical, etc.  HVAC systems use boilers to generate hot water or steam to heat buildings and evaporative chillers to provide air conditioning, much like the central plant here on campus.  The project included the construction of a solar collector that will heat water to 140F in order to run it through a heat exchanger that can have air passed over it.  An evaporative chiller was also designed to harness the latent heat of vaporization to chill a heat exchanger that can then have water passed through it.  The circulation pump and any temperature sensors will be powered by a photovoltaic array so that no electricity is needed to power the device.  The air from the ducted fan can then be passed over this heat exchanger in order to generate hot air for a room, and the same for the cold air with cold water.  Testing will consider input and output water temperature, as well as input and output air temperature in order to compare the changes and develop a value for efficiency.  Initial testing has found that 140F heating water can provide enough load in a heat exchanger to provide 85F leaving air temperature.  Water that has been cooled to 40F by the evaporative chiller can provide a leaving air temperature of 55F."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Collapsible Bicycle Frame,Keith Stone,"Engineering Technologies, Safety, & Construction","Traveling with a full size bicycle can be problematic. A light weight bicycle frame was designed to collapse to be able to fit into carry-on luggage for transport on an airplane. The required dimensions of the suitcase are 22 by 14 by 9 inches. This bicycle was also designed to be able to sustain a load of 200 pounds, with minimal deflection throughout the frame. The frame was constructed using aluminum 6061-T6 tubes that were cut to specific size to be used for telescoping tubes along the front triangle of the frame, known as the top, down and seat tubes. The telescoping tubes are pin locked when extended to ensure the structural integrity of the frame. These hitch pins were selected due to the ball bearing at the end of the pin, which helps keep the pin in place while the bicycle is being used. The frame along the chain and seat stays of the frame use pin locking tube hinges. These hinges were specifically chosen for this project so that they could assist in easily collapsing the bicycle, while keeping the structural integrity of the bike intact. The designed frame was not to exceed 15 pounds and the finished product was successful, weighing in at less than 13 pounds. While the dimensions of the frame are 38 by 22 by 6 inches when fully extended, the final dimensions of the frame when it is collapsed are 22 by 14 by 5 inches. Other results include load and deflection testing."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,The Collapsible Wheelchair Wheel,Joseph Fischer,"Engineering Technologies, Safety, & Construction","Portability, convenience, and efficiency are becoming more and more prevalent as technology increases. This is also true with wheelchairs; Wheelchairs are being designed to fold and collapse smaller and smaller with every iteration but there is one parameter that remains constant, the wheel. No matter how small the wheelchair frame folds it is always limited by its? wheel?s diameter. This project aims to create a collapsible wheel design to accompany a foldable wheelchair in order to make it more portable and storable. Since the diameter of the wheel is the limiting factor in a foldable wheelchair, the relatively small width dimension of the wheel was increased in order to compensate for the reduction of the diameter dimension. This was achieved by creating a wheel composed of six equal parts that interlock to form a solid, functional wheel capable of supporting a human to the weight capacity of other wheelchairs (250 pounds). It is also important that the wheel is easy and quick to assemble and disassemble for users of all ages and capability. It will be tested for strength but also for how quickly it can be assembled and disassembled. To achieve a 1-minute assembly time, quick release hinges were used, an instruction manual was created, and magnet and Velcro attach points were implemented. This collapsible wheel design collapses a standard 24-inch wheelchair wheel to an 11.25 by 10.75 by 6.00-inch assembly. This is a reduction of 83% of its original frontal area when collapsed. "
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Improved Drop-Weight Tennis Racquet Stringer,William Ligon-Bruno,"Engineering Technologies, Safety, & Construction","What design change to a conventional ATS Sports model drop-weight stringer can be made to decrease the stringing time for a tennis racquet? To answer this, a detailed analysis on design, manufacturability, and structural integrity was done to design a product that is manufacturable within the timeframe and produces a device which decreases the stringing time. First, an analysis on each vital component was done including the ratcheting components, pressure arm/drop mass, etc. Second, a virtual model was created with auxiliary components to test different designs. Through this analysis and the virtual model it was indicated that a duel stringing device opposed to a conventional single stringing device would meet the design requirements set forth in the project report. A more detailed design was done to the device to finalize the product for manufacturing. This included reducing the weight of the product through shelling out components and using lightweight material, reducing the cost through utilizing cheaper pre-designed material other than requesting custom designed material, modifying dimensions for the correct weight distribution, and planning for the ergonomics of use. The manufacturing process consisted of machining and 3D printing over 40 parts. After final assembly, modifications are again assessed to increase functionality. Testing results should demonstrate a reduction in the time needed to string a racquet by half and produce a tension from 30-90lbs as stated in the design requirements."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Toyota Disk Brake Conversion,Geoffrey  Gibson,"Engineering Technologies, Safety, & Construction","A common issue with Toyota pickups from the 1980?s is the factory braking system is not responsive enough for the driver to properly brake during an emergency situation. The cause of the poor response in braking comes from the drum brakes that are on the rear of the vehicle. Aftermarket vendors offered disk brake conversions that change the brakes on the rear axle from drum to disk. The aftermarket brackets that are in the conversion are thick and bulky adding excess weight to the already heavy pickup. These thick brackets in the conversion do not retain the factory emergency brake which is required to maintain proper functionality. To remedy the issue, a set of brackets were designed around the use of Ford Mustang calipers and Mitsubishi Montero rotors in order to retain the factory emergency brake and to maintain the correct wheel lug pattern. In order to reduce the bulk of the brackets, stress analysis was performed on the bracket design to find the minimum allowable thickness. This was performed over multiple materials to use different thicknesses. Once a thickness was calculated for each material, it was reevaluated to ensure that the brackets would not deflect more than what the tolerance allowed. With brackets designed and built, they will be tested on the test vehicle where the deflection of the bracket will be recorded and compared to the .005? tolerance. The calculations that were performed prove the vehicle will safely stop in the specified distance of 75ft. from 40 mph."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,THE DESIGN AND CONSTRUCTION OF TENSILE TEST GRIPPING ASSEMBLIES,Melvin  Hortman,"Engineering Technologies, Safety, & Construction","The goal of this project was to design, manufacture, and test a pair of cheap gripping assemblies with mount adapters to the Instron TT-C tensile testing machine, which is currently out of service in the Materials Laboratory of Central Washington University?s Hogue Technology Building, for educational use. The gripping assemblies would enable tensile, or pulling force, tests on tensile specimens up to 20,000 lbs, being able to test high carbon steel. The gripping assemblies and mounting adapters were designed and manufactured completely by a Central Washington University Mechanical Engineering Technology student who used the cumulative knowledge gained from engineering analysis and manufacturing courses over the span of his four years at Central. All design and manufacturing were done using the Central Washington University facilities and laboratories with the exception of heat treatments which were outsourced. It is estimated that the initial device construction will cost $771.00 and 440 man hours. Most gripping assemblies in industry cost anywhere between $6,000 and $15,000 for assemblies with a 20,000 lb load capacity. The design of the gripping assemblies is simple with no luxury of hydraulic, pneumatic, or mechanical clamping capabilities. The manufacture of the initial pair of gripping assemblies was unreasonable and robust due to limitations governed by the capabilities of Central Washington University?s lab facilities which also added unreasonable hours to the amount of man hours required. In common industrial factories/warehouses owned by testing machine manufacturers, the amount of man hours would be significantly less"
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Seat Jack,Justin Worden,"Engineering Technologies, Safety, & Construction","Many people around the world struggle with mobility. One of the biggest obstacles for who may struggle in this area is the simple task of moving from a sitting position to their feet. For some, this is the only thing that keeps them from walking around. Creating a portable device to help move a person from their chair to their feet would extremely aid the efforts of completing this simple task at any given moment. This report provides a proposed solution for this simple reoccurring task that countless people painfully struggle with every day. In order to make this device portable two main parameters were of concern, size and weight. Tests on the device?s range of motion, support/rigidity, propulsion capacity, and difficulty of use are discussed. Assessment of the test results will provide evidence backing the proposed design of a device that will lower the difficulty of this task. This portable device will become a benchmark for alternative designs that will further improve possible aid to the user in need."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Three-Phase Motor Controller,Cameron Kastner,"Engineering Technologies, Safety, & Construction","The purpose of the project is to create a in class demonstration of a three-phase motor control.  The demonstration will use pulse width modulation(PWM) to control the speed of the motor and have over current protection to protect its components.  Slow start-up and variable load will also, be major components of the project."
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,The Effectiveness of New Age Instruction,Brandon Purcell,Science Education,"The unprecedented increase of technology in the classroom has brought new modes of instruction and yet be determined as effective or ineffective. This project tests the effects of hands-on vs computer simulated learning on content retention and critical thinking. We predicted that students would have higher content retention and critical thinking as a result of the hands-on lessons. We lead students through of two learning segments. The first segment, half of the class studied circuits through a simulation, and half studied circuits through hands-on interaction. The second segment, students switch to the opposite lesson style. In between each of these segments, students received an assessment to test their content retention and critical thinking gains. The lesson plan used was a 5E lesson plan model, where students are lead through an inquiry process to explore concepts. During the first learning segment, students receiving the hands on mode of instruction received higher scores than the PHET simulation by 15%. During the second learning segment, students receiving the hands on mode of instruction saw a 3% increases compared to the PHET simulation group. While the results showed increased scores in hands on instruction, the margins were not large enough to be a significant factor in test scores. Further refining and exploration of the effectiveness of online simulations in particular the effectiveness of the teacher delivering the mode of instruction to determine the effectiveness of new age technology. 

"
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,Student use of Internet Video Lectures in Physics,Patrick Penoyar,Physics,"This study explored efficacy of student use of cloud based video resources in supplementing regular physics instruction. Two groups of 30, physics 112, students took part in this study. As part of the regular course curriculum each class had assigned web based homework. During the rotational motion and angular momentum unit of each class, references to supplemental instructional materials, applicable to problems on regular course homework were provided. The 9:30 class was provided with references to specific pages and examples in the course text book. The 7:30 class was provided with links to online supplemental physics videos.  Data was collected at beginning and end of the unit, via a pretest/post-test, attitude survey and physics concept inventory. Additionally, view counts for online video resources were counted. The study found no significant learning gains in ether student population as well as limited use of online video references. "
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,In Depth with Leyendo Juntos/Reading Together Workshop,Estrella M. Cardenas,Educational Foundations & Curriculum,"""This qualitative research project consists of an observation of Leyendo Juntos: en camino de la cuna a la Universidad/Reading Together from the Crib to the University, an interactive workshop that promotes early literacy development and bilingualism for bicultural Latino families. It also consists of a 1.5 hour focus group interview regarding children?s literacy development in the home with three parents whose children attend elementary schools in Yakima, WA. In our interviews we learned that these parents engaged in bilingual Spanish and English language and literacy learning activities like reading, conversing, telling stories, and singing. We also learned that the parents support that educational systems and curricula should adapt to best fit the needs of bicultural/bilingual children and their families. Furthermore, the participants expressed that more effective lines of communication between the educators and the parents were desired, and if attained would foster stronger support networks for the children thus further encouraging their success in school and, potentially, leading to high school graduation and university enrollment."""
Mar. 13th 2:30-5:00 p.m.,Ballroom B/C/D,?A escribir! Writing strategies for heritage students at the college level,Edward  Pinto,World Languages,"I presented on heritage language education at the bi-state Washington Association for Language Teaching and Confederation in Oregon for Language Teaching Fall Conference on October 10, 2014, in Vancouver, Washington. With the help of Dr. Alejandro Lee (World Languages), I presented my research on writing in the Spanish Heritage classroom in the session entitled ?≠A escribir! Estrategias de redacci¢n para estudiantes de lengua heredada a nivel universitario? to educators and administrators from Washington and Oregon. The poster will highlight the main points of why Heritage students struggle with writing. I recommend various best practices to help these students become better writers by focusing on the development of the students? vocabulary, cultural competence, and grammar in addition to the language skills, which include reading, listening and speaking. It is essential that students are given a variety of writing assignments that allow them to explore diverse methods of writing. Some of these writing assignments include poems, argumentative, descriptive, and narrative essays. Moreover, some of these topics include Spanglish and its controversial use, the origin of student?s names, and the stories of their parents."
